Tanggal,Harga_Mingguan
"Friday, March 31, 2017",35.915001
"Friday, April 7, 2017",35.834999
"Thursday, April 13, 2017",35.262501
"Friday, April 21, 2017",35.567501
"Friday, April 28, 2017",35.912498
"Friday, May 5, 2017",37.240002
"Friday, May 12, 2017",39.025002
"Friday, May 19, 2017",38.264999
"Friday, May 26, 2017",38.4025
"Friday, June 2, 2017",38.862499
"Friday, June 9, 2017",37.244999
"Friday, June 16, 2017",35.567501
"Friday, June 23, 2017",36.57
"Friday, June 30, 2017",36.005001
"Friday, July 7, 2017",36.044998
"Friday, July 14, 2017",37.259998
"Friday, July 21, 2017",37.567501
"Friday, July 28, 2017",37.375
"Friday, August 4, 2017",39.0975
"Friday, August 11, 2017",39.369999
"Friday, August 18, 2017",39.375
"Friday, August 25, 2017",39.965
"Friday, September 1, 2017",41.012501
"Friday, September 8, 2017",39.657501
"Friday, September 15, 2017",39.970001
"Friday, September 22, 2017",37.9725
"Friday, September 29, 2017",38.529999
"Friday, October 6, 2017",38.825001
"Friday, October 13, 2017",39.247501
"Friday, October 20, 2017",39.0625
"Friday, October 27, 2017",40.762501
"Friday, November 3, 2017",43.125
"Friday, November 10, 2017",43.6675
"Friday, November 17, 2017",42.537498
"Friday, November 24, 2017",43.7425
"Friday, December 1, 2017",42.762501
"Friday, December 8, 2017",42.342499
"Friday, December 15, 2017",43.4925
"Friday, December 22, 2017",43.752499
"Friday, December 29, 2017",42.307499
"Friday, January 5, 2018",43.75
"Friday, January 12, 2018",44.272499
"Friday, January 19, 2018",44.615002
"Friday, January 26, 2018",42.877499
"Friday, February 2, 2018",40.125
"Friday, February 9, 2018",39.102501
"Friday, February 16, 2018",43.107498
"Friday, February 23, 2018",43.875
"Friday, March 2, 2018",44.052502
"Friday, March 9, 2018",44.994999
"Friday, March 16, 2018",44.505001
"Friday, March 23, 2018",41.235001
"Thursday, March 29, 2018",41.945
"Friday, April 6, 2018",42.095001
"Friday, April 13, 2018",43.682499
"Friday, April 20, 2018",41.43
"Friday, April 27, 2018",40.580002
"Friday, May 4, 2018",45.9575
"Friday, May 11, 2018",47.147499
"Friday, May 18, 2018",46.577499
"Friday, May 25, 2018",47.145
"Friday, June 1, 2018",47.560001
"Friday, June 8, 2018",47.924999
"Friday, June 15, 2018",47.209999
"Friday, June 22, 2018",46.23
"Friday, June 29, 2018",46.2775
"Friday, July 6, 2018",46.9925
"Friday, July 13, 2018",47.8325
"Friday, July 20, 2018",47.860001
"Friday, July 27, 2018",47.744999
"Friday, August 3, 2018",51.997501
"Friday, August 10, 2018",51.8825
"Friday, August 17, 2018",54.395
"Friday, August 24, 2018",54.040001
"Friday, August 31, 2018",56.907501
"Friday, September 7, 2018",55.325001
"Friday, September 14, 2018",55.959999
"Friday, September 21, 2018",54.415001
"Friday, September 28, 2018",56.435001
"Friday, October 5, 2018",56.072498
"Friday, October 12, 2018",55.5275
"Friday, October 19, 2018",54.827499
"Friday, October 26, 2018",54.075001
"Friday, November 2, 2018",51.869999
"Friday, November 9, 2018",51.1175
"Friday, November 16, 2018",48.3825
"Friday, November 23, 2018",43.072498
"Friday, November 30, 2018",44.645
"Friday, December 7, 2018",42.122501
"Friday, December 14, 2018",41.369999
"Friday, December 21, 2018",37.682499
"Friday, December 28, 2018",39.057499
"Friday, January 4, 2019",37.064999
"Friday, January 11, 2019",38.072498
"Friday, January 18, 2019",39.205002
"Friday, January 25, 2019",39.439999
"Friday, February 1, 2019",41.630001
"Friday, February 8, 2019",42.602501
"Friday, February 15, 2019",42.605
"Friday, February 22, 2019",43.2425
"Friday, March 1, 2019",43.7425
"Friday, March 8, 2019",43.227501
"Friday, March 15, 2019",46.529999
"Friday, March 22, 2019",47.762501
"Friday, March 29, 2019",47.487499
"Friday, April 5, 2019",49.25
"Friday, April 12, 2019",49.717499
"Thursday, April 18, 2019",50.965
"Friday, April 26, 2019",51.075001
"Friday, May 3, 2019",52.9375
"Friday, May 10, 2019",49.294998
"Friday, May 17, 2019",47.25
"Friday, May 24, 2019",44.7425
"Friday, May 31, 2019",43.767502
"Friday, June 7, 2019",47.537498
"Friday, June 14, 2019",48.185001
"Friday, June 21, 2019",49.695
"Friday, June 28, 2019",49.48
"Friday, July 5, 2019",51.057499
"Friday, July 12, 2019",50.825001
"Friday, July 19, 2019",50.647499
"Friday, July 26, 2019",51.935001
"Friday, August 2, 2019",51.005001
"Friday, August 9, 2019",50.247501
"Friday, August 16, 2019",51.625
"Friday, August 23, 2019",50.66
"Friday, August 30, 2019",52.185001
"Friday, September 6, 2019",53.314999
"Friday, September 13, 2019",54.6875
"Friday, September 20, 2019",54.432499
"Friday, September 27, 2019",54.705002
"Friday, October 4, 2019",56.752499
"Friday, October 11, 2019",59.052502
"Friday, October 18, 2019",59.102501
"Friday, October 25, 2019",61.645
"Friday, November 1, 2019",63.955002
"Friday, November 8, 2019",65.035004
"Friday, November 15, 2019",66.440002
"Friday, November 22, 2019",65.445
"Friday, November 29, 2019",66.8125
"Friday, December 6, 2019",67.677498
"Friday, December 13, 2019",68.787498
"Friday, December 20, 2019",69.860001
"Friday, December 27, 2019",72.449997
"Friday, January 3, 2020",74.357498
"Friday, January 10, 2020",77.582497
"Friday, January 17, 2020",79.682503
"Friday, January 24, 2020",79.577499
"Friday, January 31, 2020",77.377502
"Friday, February 7, 2020",80.0075
"Friday, February 14, 2020",81.237503
"Friday, February 21, 2020",78.262497
"Friday, February 28, 2020",68.339996
"Friday, March 6, 2020",72.2575
"Friday, March 13, 2020",69.4925
"Friday, March 20, 2020",57.310001
"Friday, March 27, 2020",61.935001
"Friday, April 3, 2020",60.352501
"Thursday, April 9, 2020",66.997498
"Friday, April 17, 2020",70.699997
"Friday, April 24, 2020",70.7425
"Friday, May 1, 2020",72.267502
"Friday, May 8, 2020",77.532501
"Friday, May 15, 2020",76.927498
"Friday, May 22, 2020",79.722504
"Friday, May 29, 2020",79.485001
"Friday, June 5, 2020",82.875
"Friday, June 12, 2020",84.699997
"Friday, June 19, 2020",87.43
"Friday, June 26, 2020",88.407501
"Thursday, July 2, 2020",91.027496
"Friday, July 10, 2020",95.919998
"Friday, July 17, 2020",96.327499
"Friday, July 24, 2020",92.614998
"Friday, July 31, 2020",106.260002
"Friday, August 7, 2020",111.112503
"Friday, August 14, 2020",114.907501
"Friday, August 21, 2020",124.370003
"Friday, August 28, 2020",124.807503
"Friday, September 4, 2020",120.959999
"Friday, September 11, 2020",112
"Friday, September 18, 2020",106.839996
"Friday, September 25, 2020",112.279999
"Friday, October 2, 2020",113.019997
"Friday, October 9, 2020",116.970001
"Friday, October 16, 2020",119.019997
"Friday, October 23, 2020",115.040001
"Friday, October 30, 2020",108.860001
"Friday, November 6, 2020",118.690002
"Friday, November 13, 2020",119.260002
"Friday, November 20, 2020",117.339996
"Friday, November 27, 2020",116.589996
"Friday, December 4, 2020",122.25
"Friday, December 11, 2020",122.410004
"Friday, December 18, 2020",126.660004
"Thursday, December 24, 2020",131.970001
"Thursday, December 31, 2020",132.690002
"Friday, January 8, 2021",132.050003
"Friday, January 15, 2021",127.139999
"Friday, January 22, 2021",139.070007
"Friday, January 29, 2021",131.960007
"Friday, February 5, 2021",136.759995
"Friday, February 12, 2021",135.369995
"Friday, February 19, 2021",129.869995
"Friday, February 26, 2021",121.260002
"Friday, March 5, 2021",121.419998
"Friday, March 12, 2021",121.029999
"Friday, March 19, 2021",119.989998
"Friday, March 26, 2021",121.209999
"Thursday, April 1, 2021",123
"Friday, April 9, 2021",133
"Friday, April 16, 2021",134.160004
"Friday, April 23, 2021",134.320007
"Friday, April 30, 2021",131.460007
"Friday, May 7, 2021",130.210007
"Friday, May 14, 2021",127.449997
"Friday, May 21, 2021",125.43
"Friday, May 28, 2021",124.610001
"Friday, June 4, 2021",125.889999
"Friday, June 11, 2021",127.349998
"Friday, June 18, 2021",130.460007
"Friday, June 25, 2021",133.110001
"Friday, July 2, 2021",139.960007
"Friday, July 9, 2021",145.110001
"Friday, July 16, 2021",146.389999
"Friday, July 23, 2021",148.559998
"Friday, July 30, 2021",145.860001
"Friday, August 6, 2021",146.139999
"Friday, August 13, 2021",149.100006
"Friday, August 20, 2021",148.190002
"Friday, August 27, 2021",148.600006
"Friday, September 3, 2021",154.300003
"Friday, September 10, 2021",148.970001
"Friday, September 17, 2021",146.059998
"Friday, September 24, 2021",146.919998
"Friday, October 1, 2021",142.649994
"Friday, October 8, 2021",142.899994
"Friday, October 15, 2021",144.839996
"Friday, October 22, 2021",148.690002
"Friday, October 29, 2021",149.800003
"Friday, November 5, 2021",151.279999
"Friday, November 12, 2021",149.990005
"Friday, November 19, 2021",160.550003
"Friday, November 26, 2021",156.809998
"Friday, December 3, 2021",161.839996
"Friday, December 10, 2021",179.449997
"Friday, December 17, 2021",171.139999
